file,id,move_name_id,owner_id,status,outcome_rule_count,kyokoro_special_mirror_count,structural_special_count,source_kyokoro_text_count
moltres_flamethrower_ebw01_013.json,moltres_flamethrower_ebw01_013,flamethrower,moltres,dual_representation,2,2,0,2
moltres_flare_blitz_ebw01_014.json,moltres_flare_blitz_ebw01_014,flare_blitz,moltres,dual_representation,2,2,0,2
moltres_fly_ebw01_020.json,moltres_fly_ebw01_020,fly,moltres,dual_representation,2,2,0,2
moltres_heat_breath_ebw01_017.json,moltres_heat_breath_ebw01_017,heat_breath,moltres,dual_representation,2,2,0,2
moltres_heat_wave_ebw01_012.json,moltres_heat_wave_ebw01_012,heat_wave,moltres,dual_representation,1,1,0,1
moltres_hurricane_ebw01_015.json,moltres_hurricane_ebw01_015,hurricane,moltres,dual_representation,1,1,0,1
moltres_wing_rush_ebw01_019.json,moltres_wing_rush_ebw01_019,wing_rush,moltres,dual_representation,1,1,0,1
onix_gyro_ball_ebw01_045.json,onix_gyro_ball_ebw01_045,gyro_ball,onix,legacy_kyokoro_special_only,0,2,1,1
onix_hard_impact_ebw01_044.json,onix_hard_impact_ebw01_044,hard_impact,onix,dual_representation,2,2,0,2
onix_iron_tail_ebw01_050.json,onix_iron_tail_ebw01_050,iron_tail,onix,dual_representation,1,1,0,1
onix_ram_ebw01_046.json,onix_ram_ebw01_046,ram,onix,dual_representation,1,1,0,1
onix_rock_barrier_ebw01_049.json,onix_rock_barrier_ebw01_049,rock_barrier,onix,dual_representation,1,1,0,1
onix_rock_slide_ebw01_047.json,onix_rock_slide_ebw01_047,rock_slide,onix,dual_representation,1,1,0,1
onix_rock_throw_ebw01_042.json,onix_rock_throw_ebw01_042,rock_throw,onix,dual_representation,1,1,0,1
onix_rock_wall_ebw01_043.json,onix_rock_wall_ebw01_043,rock_wall,onix,dual_representation,1,1,0,1
onix_rocky_tackle_ebw01_041.json,onix_rocky_tackle_ebw01_041,rocky_tackle,onix,dual_representation,1,1,0,1
onix_wild_tackle_ebw01_048.json,onix_wild_tackle_ebw01_048,wild_tackle,onix,dual_representation,2,2,0,2
pikachu_critical_bolt_stw04_000.json,pikachu_critical_bolt_stw04_000,critical_bolt,pikachu,dual_representation,1,1,0,1
pikachu_electric_rush_stw04_003.json,pikachu_electric_rush_stw04_003,electric_rush,pikachu,legacy_kyokoro_special_only,0,3,2,1
pikachu_gnaw_stw04_001.json,pikachu_gnaw_stw04_001,gnaw,pikachu,dual_representation,1,1,0,1
pikachu_iron_tail_stw04_007.json,pikachu_iron_tail_stw04_007,iron_tail,pikachu,dual_representation,1,1,0,1
pikachu_thunder_shock_stw04_002.json,pikachu_thunder_shock_stw04_002,thunder_shock,pikachu,dual_representation,1,1,0,1
pikachu_thunder_stw04_005.json,pikachu_thunder_stw04_005,thunder,pikachu,dual_representation,1,1,0,1
pikachu_thunderbolt_stw04_004.json,pikachu_thunderbolt_stw04_004,thunderbolt,pikachu,dual_representation,2,2,0,2
pikachu_volt_tackle_stw04_006.json,pikachu_volt_tackle_stw04_006,volt_tackle,pikachu,dual_representation,1,1,0,1
pinsir_berserk_swing_ebw01_007.json,pinsir_berserk_swing_ebw01_007,berserk_swing,pinsir,dual_representation,1,1,0,1
pinsir_brick_break_ebw01_005.json,pinsir_brick_break_ebw01_005,brick_break,pinsir,dual_representation,1,1,0,1
pinsir_concentrate_ebw01_001.json,pinsir_concentrate_ebw01_001,concentrate,pinsir,dual_representation,1,1,0,1
pinsir_deadly_scissors_ebw01_009.json,pinsir_deadly_scissors_ebw01_009,deadly_scissors,pinsir,dual_representation,1,1,0,1
pinsir_endure_ebw01_002.json,pinsir_endure_ebw01_002,endure,pinsir,dual_representation,1,1,0,1
pinsir_guillotine_ebw01_004.json,pinsir_guillotine_ebw01_004,guillotine,pinsir,dual_representation,1,1,0,1
pinsir_horn_attack_ebw01_003.json,pinsir_horn_attack_ebw01_003,horn_attack,pinsir,dual_representation,1,1,0,1
pinsir_reckless_charge_ebw01_008.json,pinsir_reckless_charge_ebw01_008,reckless_charge,pinsir,dual_representation,2,2,0,2
pinsir_scissors_charge_ebw01_006.json,pinsir_scissors_charge_ebw01_006,scissors_charge,pinsir,dual_representation,1,1,0,1
pinsir_submission_ebw01_010.json,pinsir_submission_ebw01_010,submission,pinsir,dual_representation,1,1,0,1
squirtle_bubble_beam_stw03_005.json,squirtle_bubble_beam_stw03_005,bubble_beam,squirtle,dual_representation,1,1,0,1
squirtle_hard_shell_prw01_3_08.json,squirtle_hard_shell_prw01_3_08,hard_shell,squirtle,dual_representation,1,1,0,1
squirtle_hydro_rage_stw03_006.json,squirtle_hydro_rage_stw03_006,hydro_rage,squirtle,dual_representation,1,1,0,1
squirtle_mud_shot_stw03_007.json,squirtle_mud_shot_stw03_007,mud_shot,squirtle,dual_representation,1,1,0,1
squirtle_shell_attack_stw03_004.json,squirtle_shell_attack_stw03_004,shell_attack,squirtle,dual_representation,1,1,0,1
squirtle_water_gun_stw03_001.json,squirtle_water_gun_stw03_001,water_gun,squirtle,dual_representation,1,1,0,1
squirtle_water_pulse_stw03_003.json,squirtle_water_pulse_stw03_003,water_pulse,squirtle,dual_representation,1,1,0,1
squirtle_withdraw_stw03_002.json,squirtle_withdraw_stw03_002,withdraw,squirtle,dual_representation,1,1,0,1
test.json,test,test,pikachu,outcome_rules_only,1,0,0,0
test_pikachu_move.json,test_pikachu_move,test,pikachu,outcome_rules_only,1,0,0,0
zapdos_aerial_ace_ebw01_034.json,zapdos_aerial_ace_ebw01_034,aerial_ace,zapdos,dual_representation,1,1,0,1
zapdos_crushing_wing_ebw01_035.json,zapdos_crushing_wing_ebw01_035,crushing_wing,zapdos,dual_representation,1,1,0,1
zapdos_discharge_ebw01_038.json,zapdos_discharge_ebw01_038,discharge,zapdos,dual_representation,1,1,0,1
zapdos_dual_thunder_ebw01_036.json,zapdos_dual_thunder_ebw01_036,dual_thunder,zapdos,dual_representation,1,1,1,1
zapdos_electroarrow_ebw01_037.json,zapdos_electroarrow_ebw01_037,electroarrow,zapdos,dual_representation,1,1,0,1
zapdos_fly_ebw01_040.json,zapdos_fly_ebw01_040,fly,zapdos,dual_representation,2,2,0,2
zapdos_thunder_chain_ebw01_039.json,zapdos_thunder_chain_ebw01_039,thunder_chain,zapdos,dual_representation,1,2,1,1
zapdos_thunder_flash_ebw01_031.json,zapdos_thunder_flash_ebw01_031,thunder_flash,zapdos,dual_representation,1,1,0,1
zapdos_thunder_shock_ebw01_032.json,zapdos_thunder_shock_ebw01_032,thunder_shock,zapdos,dual_representation,1,1,0,1
zapdos_volt_rush_ebw01_033.json,zapdos_volt_rush_ebw01_033,volt_rush,zapdos,dual_representation,1,1,1,1
